"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Gender","Age","Qualification","Value","Value_type","Denominator","Numerator","Upper 95% C.I.","Lower 95% C.I."
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","65.4","%","4508037","2950353","66.1","64.8"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","72.6","%","1900211","1379120","73.5","71.7"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","58.3","%","280293","163331","62.7","53.9"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","59.2","%","98686","58394","67","51.4"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","61.3","%","118436","72560","68.1","54.4"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","58.8","%","518102","304863","62.1","55.6"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Other qualifications","69.6","%","2421488","1685289","70.4","68.8"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","41.1","%","3124566","1283730","41.8","40.4"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","29.8","%","29958","8939","42.1","17.5"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","36.1","%","355416","128129","39.7","32.4"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","34.1","%","110175","37528","41.1","27"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","41","%","112385","46125","48.2","33.9"
